MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,NSites,Density,microgravity_advantage_score,density_contrast_score,crystal_quality_score,containerless_score,commercial_score,novelty_score,target_sectors,_n_elements
637ef434af,Li3La2Ge2P10Ir19,"['Li', 'P', 'Ge', 'La', 'Ir']",monoclinic,Pm,0.0002,-0.6327,-0.0396,36,13.0867,93.58,28.518,4.0,3.0,10.5,2.5,"['semiconductor', 'battery', 'optical']",5
702f1428d7,Li2GeAsIr2,"['Li', 'Ge', 'As', 'Ir']",tetragonal,P4mm,0.0182,-0.5249,-0.0239,6,9.0242,93.21,28.688,5.0,3.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
9ca318cd6c,LiNb4Re6Si6W,"['Li', 'Si', 'Nb', 'W', 'Re']",monoclinic,Cm,0.0057,-0.4249,-0.0266,18,11.5172,93.15,26.997,2.0,3.0,15.0,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
43bc14bc25,Li2GePIr2,"['Li', 'P', 'Ge', 'Ir']",orthorhombic,Pmc2_1,0.0195,-0.6172,-0.0854,12,9.2024,92.71,28.883,4.5,3.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
0084b460ae,Li2AsPIr2,"['Li', 'P', 'As', 'Ir']",orthorhombic,Pmc2_1,,-0.6269,-0.0665,12,9.2711,92.68,28.873,4.5,3.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
1a4a25efda,Li2Ni3Mo3P7Ir6,"['Li', 'P', 'Ni', 'Mo', 'Ir']",hexagonal,P-6,,-0.6202,-0.0447,21,10.5587,92.57,28.491,3.5,3.0,10.5,2.5,"['battery', 'superalloy', 'defense']",5
6c43120476,LiSc2As2PIr3,"['Li', 'P', 'Sc', 'As', 'Ir']",orthorhombic,Amm2,0.0024,-0.9112,-0.0258,9,9.9926,92.41,28.588,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
137f4f1070,NaLiH12(IrPb)2,"['H', 'Li', 'Na', 'Ir', 'Pb']",tetragonal,P-42m,1.7077,-0.2669,-0.1142,36,6.9134,92.3,28.956,4.0,3.0,9.0,2.5,"['battery', 'defense', 'energy']",5
b57c81fe16,Li4ErGe3P9Ir19,"['Li', 'P', 'Ge', 'Er', 'Ir']",orthorhombic,Amm2,0.0046,-0.5678,-0.0388,36,13.125,92.26,28.519,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
f3279259d4,LiDy5AsP11Ir18,"['Li', 'P', 'As', 'Dy', 'Ir']",orthorhombic,Amm2,,-0.8386,-0.0313,36,13.8689,92.22,28.504,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
79c6b07495,Li3Dy5As2(P5Ir8)2,"['Li', 'P', 'As', 'Dy', 'Ir']",orthorhombic,Amm2,0.0022,-0.8862,-0.0605,36,12.8272,92.22,28.504,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
6c91cae1bf,Li2Dy5As2P10Ir17,"['Li', 'P', 'As', 'Dy', 'Ir']",orthorhombic,Amm2,0.0069,-0.8616,-0.054,36,13.3704,92.22,28.504,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
05eec12606,Li3Dy5AsP11Ir16,"['Li', 'P', 'As', 'Dy', 'Ir']",orthorhombic,Amm2,0.0002,-0.9009,-0.0689,36,12.8192,92.22,28.504,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
4a6f7e88d6,Li3Dy5ZnP11Ir16,"['Li', 'P', 'Zn', 'Dy', 'Ir']",orthorhombic,Amm2,0.006,-0.8838,-0.0772,36,12.7866,92.17,28.482,4.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
551a3034f7,LiNb5Re5Si6Mo,"['Li', 'Si', 'Nb', 'Mo', 'Re']",triclinic,P1,0.0012,-0.4882,-0.0254,18,10.2256,92.05,26.51,2.0,3.0,15.0,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
5f37e25bee,LiTbYGa(SiIr2)2,"['Li', 'Si', 'Ga', 'Y', 'Tb', 'Ir']",orthorhombic,Pmm2,,-0.9166,-0.029,10,11.0294,92.01,28.243,4.5,3.0,9.0,3.0,"['semiconductor', 'quantum', 'optical']",6
680413cfc7,Li3Nd2Dy3Ge2(P5Ir8)2,"['Li', 'P', 'Ge', 'Nd', 'Dy', 'Ir']",orthorhombic,Amm2,,-0.8904,-0.0933,36,12.605,92.0,28.24,4.5,3.0,9.0,3.0,"['semiconductor', 'battery', 'optical']",6
f0c587a80f,LiNdErGa(SiIr2)2,"['Li', 'Si', 'Ga', 'Nd', 'Er', 'Ir']",orthorhombic,Pmm2,,-0.8996,-0.0344,10,11.5148,91.93,28.206,4.5,3.0,9.0,3.0,"['semiconductor', 'quantum', 'optical']",6
f8a1a73e49,Li4GeP3Ir4,"['Li', 'P', 'Ge', 'Ir']",monoclinic,Pm,0.0021,-0.6753,-0.1167,12,9.0826,91.76,28.883,4.0,3.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
a0f264434a,Li2SiNi9(P2W)3,"['Li', 'Si', 'P', 'Ni', 'W']",hexagonal,P-6,0.0062,-0.5656,-0.0468,21,8.2755,91.65,24.419,5.5,3.0,13.5,2.5,"['semiconductor', 'battery', 'superalloy', 'optical']",5
1dd149c75a,Li4ScGeP11Ir19,"['Li', 'P', 'Sc', 'Ge', 'Ir']",monoclinic,Pm,0.0093,-0.587,-0.0604,36,12.7518,91.48,28.593,4.0,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
f707d42a82,Li3Ta(NbIr3)2,"['Li', 'Nb', 'Ta', 'Ir']",orthorhombic,Pmmn,0.002,-0.5368,-0.0082,24,14.5156,91.47,28.673,0.5,3.0,13.5,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
992779b5a0,Li3Ta2NbIr6,"['Li', 'Nb', 'Ta', 'Ir']",orthorhombic,Pmmn,0.003,-0.5778,-0.0082,24,15.4066,91.47,28.673,0.5,3.0,13.5,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
c9d128d155,Li2TaNbIr4,"['Li', 'Nb', 'Ta', 'Ir']",orthorhombic,Pmmm,0.0044,-0.558,-0.0088,24,14.9753,91.47,28.673,0.5,3.0,13.5,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
aea9a49e5b,Li6Ta5NbIr12,"['Li', 'Nb', 'Ta', 'Ir']",orthorhombic,Pmmm,0.0022,-0.5978,-0.0076,24,15.8072,91.47,28.673,0.5,3.0,13.5,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
b2d41de272,Li6TaNb5Ir12,"['Li', 'Nb', 'Ta', 'Ir']",orthorhombic,Pmmm,0.0056,-0.5162,-0.008,24,14.0923,91.47,28.673,0.5,3.0,13.5,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
c7b17da92d,Li2Dy5Ge4P8Ir17,"['Li', 'P', 'Ge', 'Dy', 'Ir']",monoclinic,Pm,0.0023,-0.8395,-0.0639,36,13.4402,91.3,28.514,4.0,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
075737e830,Li3Dy5As8(PIr4)4,"['Li', 'P', 'As', 'Dy', 'Ir']",monoclinic,Pm,,-0.7606,-0.0424,36,12.9601,91.28,28.504,4.0,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
e8364c5df0,Li2Dy5AsP11Ir17,"['Li', 'P', 'As', 'Dy', 'Ir']",monoclinic,Pm,0.0003,-0.8752,-0.0531,36,13.3617,91.28,28.504,4.0,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
0fca053c3c,LiDy5Ga5P7Ir18,"['Li', 'P', 'Ga', 'Dy', 'Ir']",monoclinic,Pm,0.0024,-0.7973,-0.0626,36,13.9513,91.27,28.501,4.0,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
5fb363bfdf,LiTaNb2(CoSb)4,"['Li', 'Co', 'Nb', 'Sb', 'Ta']",tetragonal,I-42m,0.7839,-0.4853,-0.1327,12,8.6033,91.13,20.772,6.0,3.0,18.0,2.5,"['battery', 'quantum', 'superalloy', 'defense', 'energy']",5
949a5e3305,LiTa2Nb(CoSb)4,"['Li', 'Co', 'Nb', 'Sb', 'Ta']",tetragonal,I-4,0.882,-0.4745,-0.1266,12,9.3218,91.13,20.772,6.0,3.0,18.0,2.5,"['battery', 'quantum', 'superalloy', 'defense', 'energy']",5
84855b015a,Li2Tb3Dy2Ga4P8Ir17,"['Li', 'P', 'Ga', 'Tb', 'Dy', 'Ir']",monoclinic,Pm,,-0.8304,-0.0491,36,13.31,91.02,28.226,4.0,3.0,9.0,3.0,"['semiconductor', 'battery', 'optical']",6
03101036b0,Li8In3SiPt4,"['Li', 'Si', 'In', 'Pt']",cubic,P-43m,,-0.6163,-0.052,16,8.149,91.0,27.383,6.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
14846dccb5,LiZr3P2Ir3,"['Li', 'P', 'Zr', 'Ir']",hexagonal,P-62m,,-1.0122,-0.0355,9,10.8619,90.76,28.859,3.5,3.0,9.0,2.0,"['battery', 'optical', 'energy']",4
eacbdb827e,Li8In3GePt4,"['Li', 'Ge', 'In', 'Pt']",cubic,P-43m,0.0053,-0.5987,-0.0598,16,8.3498,90.62,27.216,6.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
92a974c7b2,LiDy16ZnIn2IrRh3,"['Li', 'Zn', 'Rh', 'In', 'Dy', 'Ir']",triclinic,P1,,-0.4944,-0.0062,24,8.9871,90.59,28.033,4.0,3.0,9.0,3.0,"['semiconductor', 'optical', 'defense']",6
db8919992f,Li8In3GaPt4,"['Li', 'Ga', 'In', 'Pt']",cubic,P-43m,,-0.5958,-0.0047,16,8.3062,90.57,27.193,6.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
8365d30c51,LiNb12Si7(OsN)4,"['Li', 'N', 'Si', 'Nb', 'Os']",trigonal,R3m,,-0.7853,-0.0459,28,9.1138,90.16,28.846,3.0,3.0,9.0,2.5,"['quantum', 'defense', 'energy']",5
504bdaedc6,NaLiDy4NbP12Ir17,"['Li', 'Na', 'P', 'Nb', 'Dy', 'Ir']",monoclinic,Pm,,-0.8484,-0.0644,36,13.1546,89.93,28.411,2.0,3.0,10.5,3.0,"['battery', 'defense', 'energy']",6
b4fbed4b70,LiNb5Re5Si6Ru,"['Li', 'Si', 'Nb', 'Ru', 'Re']",triclinic,P1,0.005,-0.5053,-0.0215,18,10.3131,89.91,26.569,2.0,3.0,13.5,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
81dbf8e177,LiTa4Ti3Os8,"['Li', 'Ti', 'Ta', 'Os']",orthorhombic,Pmmm,0.0085,-0.4787,-0.0748,16,16.2257,89.82,28.948,0.5,3.0,12.0,2.0,"['battery', 'quantum', 'superalloy', 'defense']",4
3131de3b83,LiTa3(TiOs3)2,"['Li', 'Ti', 'Ta', 'Os']",orthorhombic,Pmmn,0.0073,-0.4479,-0.0733,24,16.136,89.82,28.948,0.5,3.0,12.0,2.0,"['battery', 'quantum', 'superalloy', 'defense']",4
1ec2d74ad3,Li3Ta(TiIr3)2,"['Li', 'Ti', 'Ta', 'Ir']",orthorhombic,Pmmn,0.0072,-0.6601,-0.0164,24,14.2632,89.74,28.91,0.5,3.0,12.0,2.0,"['battery', 'quantum', 'superalloy', 'defense']",4
908492c477,Li6Ta5TiIr12,"['Li', 'Ti', 'Ta', 'Ir']",orthorhombic,Pmmm,0.0025,-0.638,-0.0191,24,15.7384,89.74,28.91,0.5,3.0,12.0,2.0,"['battery', 'quantum', 'superalloy', 'defense']",4
7c2842589d,Li5Ta(TiIr2)6,"['Li', 'Ti', 'Ta', 'Ir']",orthorhombic,Pmmm,0.0032,-0.7047,-0.0198,24,13.7477,89.74,28.91,0.5,3.0,12.0,2.0,"['battery', 'quantum', 'superalloy', 'defense']",4
bdc156e223,LiNb12Si4Os7C4,"['Li', 'C', 'Si', 'Nb', 'Os']",trigonal,R3m,,-0.4677,-0.0399,28,10.8303,89.69,28.637,3.0,3.0,9.0,2.5,"['quantum', 'defense', 'energy']",5
6920f474a9,NaLiNbNi9P7W2,"['Li', 'Na', 'P', 'Ni', 'Nb', 'W']",monoclinic,Pm,,-0.5985,-0.053,21,7.7685,89.6,24.265,2.0,3.0,16.5,3.0,"['battery', 'superalloy', 'defense', 'energy']",6
b51b9db035,LiLa2P3(IrRh)2,"['Li', 'P', 'Rh', 'La', 'Ir']",tetragonal,P-4m2,0.0005,-1.021,-0.0385,10,9.4111,89.56,28.58,3.0,3.0,9.0,2.5,"['battery', 'optical', 'defense']",5
61783cb296,Li6Al9Co6Si7Ir,"['Li', 'Al', 'Si', 'Co', 'Ir']",trigonal,R3m,,-0.4621,-0.0088,29,4.289,89.56,28.583,3.0,3.0,9.0,2.5,"['battery', 'quantum', 'superalloy']",5
fa53fec65f,Li2Pr8ZnSi12Os,"['Li', 'Si', 'Zn', 'Pr', 'Os']",hexagonal,P-6m2,,-0.6552,-0.0586,24,5.6415,89.55,28.496,5.5,3.0,6.0,2.5,"['semiconductor', 'optical']",5
e511dc31d1,Li6Nb5AlIr12,"['Li', 'Al', 'Nb', 'Ir']",orthorhombic,Pmmm,,-0.5227,-0.0142,24,13.6065,89.45,28.782,0.5,3.0,12.0,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
ed74eab685,LiH6IrPb,"['H', 'Li', 'Ir', 'Pb']",cubic,P-43m,1.6177,-0.2651,-0.0966,36,7.0823,89.25,28.945,5.0,3.0,6.0,2.0,"['defense', 'energy']",4
66daffd059,Li8GaPPt6,"['Li', 'P', 'Ga', 'Pt']",trigonal,R3,,-0.6705,-0.0154,16,9.4689,89.23,27.435,5.0,2.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
4e20fcfc76,Li7Zn(PPt3)2,"['Li', 'P', 'Zn', 'Pt']",trigonal,R3,0.0109,-0.6796,-0.0501,16,9.7841,89.19,27.42,5.0,2.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
f62f786c95,Li8ZnPPt6,"['Li', 'P', 'Zn', 'Pt']",trigonal,R3,0.0215,-0.6366,-0.012,16,9.4381,89.19,27.42,5.0,2.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
cb1324eb5f,Li7Cd(PPt3)2,"['Li', 'P', 'Cd', 'Pt']",trigonal,R3,0.0042,-0.6562,-0.0482,16,9.8185,89.19,27.419,5.0,2.0,9.0,2.0,"['semiconductor', 'battery', 'optical']",4
eb69a1e7b2,Li3GaSiPt3,"['Li', 'Si', 'Ga', 'Pt']",trigonal,R32,0.0051,-0.7536,-0.0586,16,10.1647,89.15,27.402,5.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
cb6af5e9db,Li7In(SiPt3)2,"['Li', 'Si', 'In', 'Pt']",trigonal,R3,,-0.7274,-0.0407,16,9.6905,89.11,27.383,5.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
c1f5147cf6,Li3InSiPt3,"['Li', 'Si', 'In', 'Pt']",trigonal,R32,0.0091,-0.72,-0.0502,16,10.2104,89.11,27.383,5.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
03167afef1,LiTb3ZnIn3Ir,"['Li', 'Zn', 'In', 'Tb', 'Ir']",hexagonal,P-6,0.0257,-0.5666,-0.0563,9,8.9068,88.99,28.246,5.5,3.0,6.0,2.5,"['semiconductor', 'optical']",5
c0e3c4ed9f,LiHo3ZnIn3Ir,"['Li', 'Zn', 'In', 'Ho', 'Ir']",hexagonal,P-6,,-0.5652,-0.0505,9,9.2697,88.98,28.242,5.5,3.0,6.0,2.5,"['semiconductor', 'optical']",5
e24ffca0cc,LiEr3ZnIn3Ir,"['Li', 'Zn', 'In', 'Er', 'Ir']",hexagonal,P-6,0.0122,-0.5641,-0.0503,9,9.4196,88.97,28.24,5.5,3.0,6.0,2.5,"['semiconductor', 'optical']",5
0799881175,LiEr3CdIn3Ir,"['Li', 'Cd', 'In', 'Er', 'Ir']",hexagonal,P-6,,-0.5584,-0.0578,9,9.4545,88.91,28.214,5.5,3.0,6.0,2.5,"['semiconductor', 'optical']",5
32519bc4d1,LiTa5Re5Si6W,"['Li', 'Si', 'Ta', 'W', 'Re']",triclinic,P1,0.0061,-0.4741,-0.0393,18,13.5207,88.86,27.107,2.0,3.0,12.0,2.5,"['quantum', 'superalloy', 'defense']",5
092c3ad70b,LiTa4Re6Si6W,"['Li', 'Si', 'Ta', 'W', 'Re']",monoclinic,Cm,0.0012,-0.4282,-0.0372,18,13.7722,88.86,27.107,2.0,3.0,12.0,2.5,"['quantum', 'superalloy', 'defense']",5
adf3590210,LiZr3(P3Ir4)2,"['Li', 'P', 'Zr', 'Ir']",orthorhombic,Amm2,0.005,-0.8689,-0.0676,36,12.2157,88.86,28.859,2.5,3.0,9.0,2.0,"['battery', 'optical', 'energy']",4
64d1a99aae,LiTh2ZnSi2(PtRh)2,"['Li', 'Si', 'Zn', 'Rh', 'Pt', 'Th']",tetragonal,P-4m2,,-1.0065,-0.03,10,10.746,88.76,26.898,5.0,2.0,9.0,3.0,"['semiconductor', 'optical', 'energy']",6
700cccaabc,Na5Li3P12(IrRh3)4,"['Li', 'Na', 'P', 'Rh', 'Ir']",hexagonal,P-62m,,-0.7037,-0.0864,36,7.6767,88.75,28.809,3.5,3.0,7.5,2.5,"['battery', 'defense']",5
8067d40bf8,Li2InGePt4,"['Li', 'Ge', 'In', 'Pt']",tetragonal,P4/mmm,,-0.6215,-0.0651,8,13.3613,88.73,27.216,5.0,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
a6ac2b36d4,Li3La2P12Ir16Ru3,"['Li', 'P', 'Ru', 'La', 'Ir']",orthorhombic,Amm2,0.0061,-0.6882,-0.0791,36,12.2323,88.61,28.579,2.5,3.0,9.0,2.5,"['battery', 'optical', 'defense']",5
ff0dd23436,Li4Ni9As6PW,"['Li', 'P', 'Ni', 'As', 'W']",monoclinic,Pm,,-0.4666,-0.0108,21,7.1117,88.55,24.304,4.0,3.0,13.5,2.5,"['semiconductor', 'battery', 'superalloy', 'optical']",5
acc9c767e4,Li4Ni9As5P2W,"['Li', 'P', 'Ni', 'As', 'W']",monoclinic,Pm,0.0008,-0.502,-0.0193,21,6.995,88.55,24.304,4.0,3.0,13.5,2.5,"['semiconductor', 'battery', 'superalloy', 'optical']",5
7fab8a5c34,Li6ZnGa5Ir4,"['Li', 'Zn', 'Ga', 'Ir']",tetragonal,P-42m,,-0.4801,-0.0315,16,9.1784,88.52,28.626,5.0,3.0,6.0,2.0,"['semiconductor', 'optical']",4
bfe212d112,LiZn3InIr,"['Li', 'Zn', 'In', 'Ir']",trigonal,R3m,0.0097,-0.2691,-0.0074,6,8.7277,88.42,28.581,5.0,3.0,6.0,2.0,"['semiconductor', 'optical']",4
ccd05e2eec,LiDy5Nb2(P3Ir4)4,"['Li', 'P', 'Nb', 'Dy', 'Ir']",orthorhombic,Amm2,,-0.9599,-0.0859,36,13.2004,88.37,28.476,2.5,3.0,9.0,2.5,"['battery', 'defense', 'energy']",5
8e401f2c65,Li2La10Pr6CdInIr4,"['Li', 'Cd', 'In', 'La', 'Pr', 'Ir']",monoclinic,Cm,,-0.4211,-0.0075,24,7.3781,88.32,28.036,4.0,3.0,7.5,3.0,"['semiconductor', 'optical']",6
fab45180f9,Li2La9Nd7ZnCdIr4,"['Li', 'Zn', 'Cd', 'La', 'Nd', 'Ir']",monoclinic,Cm,,-0.3882,-0.0024,24,7.3954,88.32,28.035,4.0,3.0,7.5,3.0,"['semiconductor', 'optical']",6
4eace516c6,Li2La4Pr12CdInIr4,"['Li', 'Cd', 'In', 'La', 'Pr', 'Ir']",monoclinic,Cm,,-0.3987,-0.0085,24,7.4681,88.32,28.036,4.0,3.0,7.5,3.0,"['semiconductor', 'optical']",6
2856ee1923,LiLa10Nd6Cd2InIr4,"['Li', 'Cd', 'In', 'La', 'Nd', 'Ir']",monoclinic,Cm,,-0.4554,-0.0098,24,7.7095,88.31,28.032,4.0,3.0,7.5,3.0,"['semiconductor', 'optical']",6
751368d795,LiIn(IrS2)4,"['Li', 'S', 'In', 'Ir']",cubic,F-43m,0.7323,-0.8279,-0.0121,14,7.0668,88.24,28.832,7.0,3.0,3.0,2.0,['battery'],4
3467fab384,Li2Ni6P7(IrRu)3,"['Li', 'P', 'Ni', 'Ru', 'Ir']",hexagonal,P-6,0.0036,-0.582,-0.0571,21,8.9265,88.14,28.539,3.5,3.0,7.5,2.5,"['battery', 'defense']",5
2db1ae05f2,LiTa5Re5Si6Mo,"['Li', 'Si', 'Mo', 'Ta', 'Re']",triclinic,P1,0.0027,-0.4966,-0.043,18,12.9938,88.14,26.788,2.0,3.0,12.0,2.5,"['quantum', 'superalloy', 'defense']",5
999f99fce7,Li4Si3Ge(WO5)4,"['Li', 'O', 'Si', 'Ge', 'W']",triclinic,P1,2.0037,-2.5433,-0.0172,32,5.1691,88.02,24.571,7.0,3.0,9.0,2.5,"['semiconductor', 'quantum', 'optical']",5
d13a78fadf,LiNbCo8(P3W)2,"['Li', 'P', 'Co', 'Nb', 'W']",orthorhombic,Amm2,,-0.6306,-0.0141,36,8.6212,87.95,24.291,2.5,3.0,15.0,2.5,"['battery', 'superalloy', 'defense', 'energy']",5
5d74757fc0,Li2Nb5Co16P12W,"['Li', 'P', 'Co', 'Nb', 'W']",orthorhombic,Amm2,,-0.7404,-0.0144,36,7.515,87.95,24.291,2.5,3.0,15.0,2.5,"['battery', 'superalloy', 'defense', 'energy']",5
a86c8ac5ce,LiTiAlIr,"['Li', 'Al', 'Ti', 'Ir']",cubic,F-43m,0.0124,-0.7315,-0.1121,4,7.9707,87.91,28.854,2.0,3.0,9.0,2.0,"['battery', 'quantum', 'superalloy']",4
1901e4840e,LiNb5(SiOs)6,"['Li', 'Si', 'Nb', 'Os']",monoclinic,Cm,0.0009,-0.5182,-0.0982,18,11.0928,87.89,28.846,2.0,3.0,9.0,2.0,"['quantum', 'defense', 'energy']",4
7ec7fb7a95,K4Li2H12IrRh,"['H', 'Li', 'K', 'Rh', 'Ir']",trigonal,R-3m,2.9536,-0.4904,-0.2271,20,3.1485,87.86,29.0,4.0,3.0,6.0,2.5,"['battery', 'defense']",5
d71ff30f34,Li6Ga5GePt12,"['Li', 'Ga', 'Ge', 'Pt']",orthorhombic,Pmmm,,-0.7268,-0.0416,24,13.8226,87.86,27.25,4.5,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
db04ea6e46,LiNb5(ReSi)6,"['Li', 'Si', 'Nb', 'Re']",monoclinic,Cm,0.0011,-0.4651,-0.0182,18,10.8411,87.85,26.828,2.0,3.0,12.0,2.0,"['quantum', 'superalloy', 'defense', 'energy']",4
e701bc359e,Li6InGe5Pt12,"['Li', 'Ge', 'In', 'Pt']",orthorhombic,Pmmm,0.0068,-0.6078,-0.0677,24,13.7061,87.78,27.216,4.5,2.0,9.0,2.0,"['semiconductor', 'quantum', 'optical']",4
8766134b47,Li3La2P12Ir17Ru2,"['Li', 'P', 'Ru', 'La', 'Ir']",monoclinic,Pm,0.0079,-0.6767,-0.0698,36,12.4979,87.66,28.579,2.0,3.0,9.0,2.5,"['battery', 'optical', 'defense']",5
210fe35b54,Li3Zn5GeIr3,"['Li', 'Zn', 'Ge', 'Ir']",orthorhombic,Pmmm,0.0078,-0.3745,-0.0222,24,9.9025,87.63,28.65,4.5,3.0,6.0,2.0,"['semiconductor', 'optical']",4
d4745f2fce,Li2Dy5Zr2(P4Ir5)3,"['Li', 'P', 'Zr', 'Dy', 'Ir']",monoclinic,Pm,0.0074,-1.0133,-0.1062,36,12.4769,87.46,28.49,2.0,3.0,9.0,2.5,"['battery', 'optical', 'energy']",5
